"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Households!!Estimate!!Total","Households!!Margin of Error!!Total","Households!!Estimate!!Less than $10,000","Households!!Margin of Error!!Less than $10,000","Households!!Estimate!!$10,000 to $14,999","Households!!Margin of Error!!$10,000 to $14,999","Households!!Estimate!!$15,000 to $24,999","Households!!Margin of Error!!$15,000 to $24,999","Households!!Estimate!!$25,000 to $34,999","Households!!Margin of Error!!$25,000 to $34,999","Households!!Estimate!!$35,000 to $49,999","Households!!Margin of Error!!$35,000 to $49,999","Households!!Estimate!!$50,000 to $74,999","Households!!Margin of Error!!$50,000 to $74,999","Households!!Estimate!!$75,000 to $99,999","Households!!Margin of Error!!$75,000 to $99,999","Households!!Estimate!!$100,000 to $149,999","Households!!Margin of Error!!$100,000 to $149,999","Households!!Estimate!!$150,000 to $199,999","Households!!Margin of Error!!$150,000 to $199,999","Households!!Estimate!!$200,000 or more","Households!!Margin of Error!!$200,000 or more","Households!!Estimate!!Median income (dollars)","Households!!Margin of Error!!Median income (dollars)","Households!!Estimate!!Mean income (dollars)","Households!!Margin of Error!!Mean income (dollars)","Households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Estimate!!Total","Families!!Margin of Error!!Total","Families!!Estimate!!Less than $10,000","Families!!Margin of Error!!Less than $10,000","Families!!Estimate!!$10,000 to $14,999","Families!!Margin of Error!!$10,000 to $14,999","Families!!Estimate!!$15,000 to $24,999","Families!!Margin of Error!!$15,000 to $24,999","Families!!Estimate!!$25,000 to $34,999","Families!!Margin of Error!!$25,000 to $34,999","Families!!Estimate!!$35,000 to $49,999","Families!!Margin of Error!!$35,000 to $49,999","Families!!Estimate!!$50,000 to $74,999","Families!!Margin of Error!!$50,000 to $74,999","Families!!Estimate!!$75,000 to $99,999","Families!!Margin of Error!!$75,000 to $99,999","Families!!Estimate!!$100,000 to $149,999","Families!!Margin of Error!!$100,000 to $149,999","Families!!Estimate!!$150,000 to $199,999","Families!!Margin of Error!!$150,000 to $199,999","Families!!Estimate!!$200,000 or more","Families!!Margin of Error!!$200,000 or more","Families!!Estimate!!Median income (dollars)","Families!!Margin of Error!!Median income (dollars)","Families!!Estimate!!Mean income (dollars)","Families!!Margin of Error!!Mean income (dollars)","Families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Estimate!!Total","Married-couple families!!Margin of Error!!Total","Married-couple families!!Estimate!!Less than $10,000","Married-couple families!!Margin of Error!!Less than $10,000","Married-couple families!!Estimate!!$10,000 to $14,999","Married-couple families!!Margin of Error!!$10,000 to $14,999","Married-couple families!!Estimate!!$15,000 to $24,999","Married-couple families!!Margin of Error!!$15,000 to $24,999","Married-couple families!!Estimate!!$25,000 to $34,999","Married-couple families!!Margin of Error!!$25,000 to $34,999","Married-couple families!!Estimate!!$35,000 to $49,999","Married-couple families!!Margin of Error!!$35,000 to $49,999","Married-couple families!!Estimate!!$50,000 to $74,999","Married-couple families!!Margin of Error!!$50,000 to $74,999","Married-couple families!!Estimate!!$75,000 to $99,999","Married-couple families!!Margin of Error!!$75,000 to $99,999","Married-couple families!!Estimate!!$100,000 to $149,999","Married-couple families!!Margin of Error!!$100,000 to $149,999","Married-couple families!!Estimate!!$150,000 to $199,999","Married-couple families!!Margin of Error!!$150,000 to $199,999","Married-couple families!!Estimate!!$200,000 or more","Married-couple families!!Margin of Error!!$200,000 or more","Married-couple families!!Estimate!!Median income (dollars)","Married-couple families!!Margin of Error!!Median income (dollars)","Married-couple families!!Estimate!!Mean income (dollars)","Married-couple families!!Margin of Error!!Mean income (dollars)","Married-couple families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Estimate!!Total","Nonfamily households!!Margin of Error!!Total","Nonfamily households!!Estimate!!Less than $10,000","Nonfamily households!!Margin of Error!!Less than $10,000","Nonfamily households!!Estimate!!$10,000 to $14,999","Nonfamily households!!Margin of Error!!$10,000 to $14,999","Nonfamily households!!Estimate!!$15,000 to $24,999","Nonfamily households!!Margin of Error!!$15,000 to $24,999","Nonfamily households!!Estimate!!$25,000 to $34,999","Nonfamily households!!Margin of Error!!$25,000 to $34,999","Nonfamily households!!Estimate!!$35,000 to $49,999","Nonfamily households!!Margin of Error!!$35,000 to $49,999","Nonfamily households!!Estimate!!$50,000 to $74,999","Nonfamily households!!Margin of Error!!$50,000 to $74,999","Nonfamily households!!Estimate!!$75,000 to $99,999","Nonfamily households!!Margin of Error!!$75,000 to $99,999","Nonfamily households!!Estimate!!$100,000 to $149,999","Nonfamily households!!Margin of Error!!$100,000 to $149,999","Nonfamily households!!Estimate!!$150,000 to $199,999","Nonfamily households!!Margin of Error!!$150,000 to $199,999","Nonfamily households!!Estimate!!$200,000 or more","Nonfamily households!!Margin of Error!!$200,000 or more","Nonfamily households!!Estimate!!Median income (dollars)","Nonfamily households!!Margin of Error!!Median income (dollars)","Nonfamily households!!Estimate!!Mean income (dollars)","Nonfamily households!!Margin of Error!!Mean income (dollars)","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"1400000US09009184200","Census Tract 1842, New Haven County, Connecticut","1750","98","5.1","3.4","2.6","1.5","5.8","3.6","5.0","2.6","13.2","4.5","23.2","6.0","16.0","5.0","19.7","5.8","9.4","4.4","0.0","1.8","64063","11105","75716","6646","25.7","(X)","(X)","(X)","(X)","(X)","1062","121","4.0","4.0","1.7","1.5","1.6","2.4","4.2","3.0","10.1","5.4","22.2","7.2","13.9","6.2","29.0","8.5","13.3","7.0","0.0","3.0","89444","18088","89105","9448","(X)","(X)","28.9","(X)","(X)","(X)","708","114","0.0","4.5","0.7","1.6","0.0","4.5","3.7","3.5","9.3","6.5","14.7","6.7","9.5","6.0","42.2","10.7","19.9","9.7","0.0","4.5","110733","6498","N","N","(X)","(X)","(X)","(X)","(X)","(X)","688","103","6.8","6.4","6.0","4.3","12.2","8.2","6.3","4.7","18.0","8.2","25.9","10.1","17.3","8.1","5.2","4.5","2.3","2.8","0.0","4.6","50223","7438","52524","6573","(X)","(X)","(X)","(X)","18.9","(X)"
"1400000US09009184300","Census Tract 1843, New Haven County, Connecticut","2027","135","5.2","3.1","0.7","1.2","16.5","6.8","7.9","3.4","6.3","2.9","16.9","7.0","14.8","5.0","16.1","5.0","8.0","3.8","7.5","4.6","69653","10983","89050","12754","24.8","(X)","(X)","(X)","(X)","(X)","1195","169","4.1","3.8","0.0","2.7","7.3","5.1","4.8","4.1","4.5","3.2","18.8","10.2","19.6","7.2","20.3","7.6","10.3","5.4","10.4","6.9","88832","10956","109467","15926","(X)","(X)","26.9","(X)","(X)","(X)","972","161","0.0","3.3","0.0","3.3","9.0","6.4","2.4","2.9","5.6","4.0","19.4","11.7","17.8","7.7","22.5","8.8","10.6","6.1","12.8","8.4","95781","12672","N","N","(X)","(X)","(X)","(X)","(X)","(X)","832","179","6.7","4.6","1.8","3.0","29.8","13.2","12.5","5.8","8.8","5.6","14.2","7.7","10.2","7.4","7.8","5.1","4.7","4.5","3.5","4.3","34300","9092","58937","13593","(X)","(X)","(X)","(X)","21.8","(X)"
"1400000US09009184400","Census Tract 1844, New Haven County, Connecticut","1454","77","5.6","3.3","3.2","2.2","4.3","2.3","8.7","4.3","8.7","3.1","16.4","5.3","10.7","4.4","18.0","5.7","10.1","3.7","14.2","4.6","86324","17261","124444","18059","30.6","(X)","(X)","(X)","(X)","(X)","905","93","1.4","1.6","0.9","1.3","1.8","2.0","8.4","6.1","6.0","3.1","12.9","7.0","10.5","6.1","24.4","8.9","13.4","5.9","20.3","6.6","111761","18466","162949","28119","(X)","(X)","30.4","(X)","(X)","(X)","823","92","0.0","3.9","0.0","3.9","0.7","1.1","8.4","6.3","5.1","3.2","12.4","7.5","11.5","6.7","24.8","9.5","14.7","6.4","22.4","7.1","119779","25845","N","N","(X)","(X)","(X)","(X)","(X)","(X)","549","98","13.7","8.3","6.9","5.2","8.6","4.9","9.3","5.7","13.1","6.5","22.0","10.6","10.0","5.7","9.1","6.7","3.1","3.5","4.2","3.7","46319","11369","59190","10626","(X)","(X)","(X)","(X)","31.0","(X)"
"1400000US09009184500","Census Tract 1845, New Haven County, Connecticut","929","52","1.5","1.6","1.6","1.8","2.8","2.1","8.5","4.6","11.1","5.0","20.7","7.5","12.9","5.4","19.8","8.9","5.7","3.6","15.4","5.0","85903","21369","119473","21524","34.1","(X)","(X)","(X)","(X)","(X)","687","63","1.2","1.7","1.0","1.6","2.0","2.4","8.2","5.8","5.4","4.4","17.8","9.6","14.3","6.7","23.0","11.3","6.4","4.7","20.8","6.7","100104","15932","140299","28628","(X)","(X)","36.8","(X)","(X)","(X)","575","64","0.0","5.5","1.2","1.9","2.4","2.9","5.7","5.3","5.4","4.8","16.3","10.1","16.0","7.8","22.3","11.6","7.7","5.5","23.0","8.2","106250","30993","N","N","(X)","(X)","(X)","(X)","(X)","(X)","242","67","2.5","3.8","3.3","5.1","5.0","6.1","9.5","8.4","27.3","16.2","28.9","20.3","9.1","8.8","10.7","9.2","3.7","5.2","0.0","12.5","53654","11373","60349","9970","(X)","(X)","(X)","(X)","26.4","(X)"
"1400000US09009184600","Census Tract 1846, New Haven County, Connecticut","1148","85","2.3","2.4","1.5","1.8","5.4","3.2","2.2","2.1","5.5","4.3","15.0","5.6","17.6","5.9","10.4","4.3","19.4","5.9","20.8","6.0","104444","19799","166184","30614","26.7","(X)","(X)","(X)","(X)","(X)","886","74","0.0","3.6","1.9","1.8","3.2","3.0","1.0","1.8","1.5","2.3","12.9","5.8","17.2","6.4","11.4","5.3","24.0","7.4","27.0","7.6","151023","36788","198329","38284","(X)","(X)","24.4","(X)","(X)","(X)","818","78","0.0","3.9","1.0","1.8","2.4","2.7","0.0","3.9","1.6","2.5","12.1","5.8","16.1","6.7","12.3","5.8","26.0","8.1","28.4","8.0","157083","13216","N","N","(X)","(X)","(X)","(X)","(X)","(X)","262","83","9.9","10.1","3.4","6.0","9.5","9.9","6.1","6.7","19.1","16.8","22.1","13.5","19.1","13.2","6.9","7.7","3.8","6.1","0.0","11.7","50521","11691","56953","12873","(X)","(X)","(X)","(X)","34.7","(X)"
"1400000US09009184700","Census Tract 1847, New Haven County, Connecticut","2414","106","9.7","4.3","1.7","2.2","8.3","3.1","7.2","3.7","5.4","2.7","24.5","6.0","15.0","5.0","14.4","4.9","6.0","3.1","7.8","3.4","68711","1789","85454","8968","18.3","(X)","(X)","(X)","(X)","(X)","1556","129","7.2","5.2","2.0","3.2","3.3","3.3","5.1","3.5","4.8","3.4","24.2","8.2","16.2","6.1","18.4","6.9","8.2","4.5","10.7","4.9","78850","8822","101253","13475","(X)","(X)","18.4","(X)","(X)","(X)","1199","121","3.0","3.3","0.0","2.7","3.5","4.1","6.6","4.5","3.6","3.7","26.7","9.6","10.0","5.1","22.2","8.1","10.6","6.0","13.8","5.9","90446","24436","N","N","(X)","(X)","(X)","(X)","(X)","(X)","858","157","14.1","7.6","1.3","1.9","17.4","8.0","11.1","7.3","6.5","4.8","25.2","10.2","14.5","8.5","5.4","4.8","2.1","2.5","2.6","3.0","49063","17324","55279","10347","(X)","(X)","(X)","(X)","16.3","(X)"
"1400000US09009186100","Census Tract 1861, New Haven County, Connecticut","2921","113","4.2","3.4","0.5","0.8","7.7","4.0","8.5","4.2","8.9","3.9","14.5","4.3","20.8","5.0","22.5","5.2","7.7","3.8","4.7","2.5","80403","5166","91272","9926","27.4","(X)","(X)","(X)","(X)","(X)","1852","147","1.2","1.9","0.0","1.7","1.0","1.5","8.3","5.0","8.3","5.1","17.0","5.9","21.4","6.5","27.2","6.6","10.3","5.8","5.4","3.2","91585","9775","102332","10100","(X)","(X)","27.2","(X)","(X)","(X)","1470","168","1.5","2.4","0.0","2.2","1.2","1.8","8.6","6.0","3.4","3.4","15.2","6.8","20.5","7.3","31.8","8.3","12.0","7.0","5.7","3.6","99397","19303","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1069","169","9.5","8.6","1.4","2.2","19.4","10.1","8.7","6.2","13.1","6.8","10.3","5.7","21.9","8.6","9.0","5.5","3.4","3.7","3.4","3.4","47083","16377","69262","19696","(X)","(X)","(X)","(X)","27.7","(X)"
"1400000US09009186200","Census Tract 1862, New Haven County, Connecticut","2487","112","1.8","1.4","1.4","1.7","4.5","3.3","6.1","4.5","8.2","3.8","16.2","5.6","14.9","4.9","24.5","6.2","15.1","6.0","7.2","4.7","97379","8986","106647","13877","26.4","(X)","(X)","(X)","(X)","(X)","2038","120","3.4","3.1","1.0","1.8","2.0","3.1","4.7","4.5","5.7","3.4","14.1","5.6","15.0","5.0","29.9","7.7","16.7","7.2","7.5","5.6","107031","14098","114015","16816","(X)","(X)","28.8","(X)","(X)","(X)","1705","141","1.9","2.1","1.2","2.1","2.4","3.7","4.8","5.2","4.8","3.2","11.7","6.0","17.0","5.8","31.3","8.7","16.9","7.1","8.1","6.6","108639","13997","N","N","(X)","(X)","(X)","(X)","(X)","(X)","449","116","3.1","4.8","3.3","5.4","16.0","10.4","12.7","9.7","11.6","8.8","25.4","15.5","14.3","12.0","3.6","5.3","4.0","6.4","6.0","7.0","55234","21345","65224","16859","(X)","(X)","(X)","(X)","15.6","(X)"
"1400000US09009190100","Census Tract 1901, New Haven County, Connecticut","1554","85","7.3","3.5","1.2","1.4","4.8","2.6","4.4","3.4","13.0","6.1","17.1","6.0","19.0","5.9","19.2","7.2","6.9","3.4","7.0","4.7","77833","13441","126062","58364","25.4","(X)","(X)","(X)","(X)","(X)","776","116","1.7","2.6","0.0","4.1","1.0","1.6","4.0","3.3","11.7","6.5","21.1","11.2","15.2","6.3","28.9","10.4","9.1","5.9","7.2","5.6","89907","18278","110881","19195","(X)","(X)","22.9","(X)","(X)","(X)","610","115","0.0","5.2","0.0","5.2","1.3","2.1","2.3","2.6","14.9","8.0","10.3","5.9","17.7","7.6","34.6","11.4","11.6","7.4","7.2","6.3","102768","16854","N","N","(X)","(X)","(X)","(X)","(X)","(X)","778","119","12.9","7.0","2.3","2.9","8.6","5.4","4.8","5.9","15.4","9.4","19.5","8.9","16.5","7.7","9.6","8.1","3.6","4.0","6.8","7.6","55750","10513","137894","115084","(X)","(X)","(X)","(X)","26.7","(X)"
