"GEO_ID","NAME","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E"
"id","Geographic Area Name","Households!!Margin of Error!!$50,000 to $74,999","Households!!Estimate!!$75,000 to $99,999","Households!!Margin of Error!!$75,000 to $99,999","Households!!Estimate!!$100,000 to $149,999","Households!!Margin of Error!!$100,000 to $149,999","Households!!Estimate!!$150,000 to $199,999","Households!!Margin of Error!!$150,000 to $199,999","Households!!Estimate!!$200,000 or more","Households!!Margin of Error!!$200,000 or more","Households!!Estimate!!Median income (dollars)","Households!!Margin of Error!!Median income (dollars)","Households!!Estimate!!Mean income (dollars)","Households!!Margin of Error!!Mean income (dollars)","Households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Estimate!!Total","Families!!Margin of Error!!Total","Families!!Estimate!!Less than $10,000","Families!!Margin of Error!!Less than $10,000","Families!!Estimate!!$10,000 to $14,999","Families!!Margin of Error!!$10,000 to $14,999","Families!!Estimate!!$15,000 to $24,999","Families!!Margin of Error!!$15,000 to $24,999","Families!!Estimate!!$25,000 to $34,999","Families!!Margin of Error!!$25,000 to $34,999","Families!!Estimate!!$35,000 to $49,999","Families!!Margin of Error!!$35,000 to $49,999","Families!!Estimate!!$50,000 to $74,999","Families!!Margin of Error!!$50,000 to $74,999","Families!!Estimate!!$75,000 to $99,999","Families!!Margin of Error!!$75,000 to $99,999","Families!!Estimate!!$100,000 to $149,999","Families!!Margin of Error!!$100,000 to $149,999","Families!!Estimate!!$150,000 to $199,999","Families!!Margin of Error!!$150,000 to $199,999","Families!!Estimate!!$200,000 or more","Families!!Margin of Error!!$200,000 or more","Families!!Estimate!!Median income (dollars)","Families!!Margin of Error!!Median income (dollars)","Families!!Estimate!!Mean income (dollars)","Families!!Margin of Error!!Mean income (dollars)","Families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Estimate!!Total","Married-couple families!!Margin of Error!!Total","Married-couple families!!Estimate!!Less than $10,000","Married-couple families!!Margin of Error!!Less than $10,000","Married-couple families!!Estimate!!$10,000 to $14,999","Married-couple families!!Margin of Error!!$10,000 to $14,999","Married-couple families!!Estimate!!$15,000 to $24,999","Married-couple families!!Margin of Error!!$15,000 to $24,999","Married-couple families!!Estimate!!$25,000 to $34,999","Married-couple families!!Margin of Error!!$25,000 to $34,999","Married-couple families!!Estimate!!$35,000 to $49,999","Married-couple families!!Margin of Error!!$35,000 to $49,999","Married-couple families!!Estimate!!$50,000 to $74,999","Married-couple families!!Margin of Error!!$50,000 to $74,999","Married-couple families!!Estimate!!$75,000 to $99,999","Married-couple families!!Margin of Error!!$75,000 to $99,999","Married-couple families!!Estimate!!$100,000 to $149,999","Married-couple families!!Margin of Error!!$100,000 to $149,999","Married-couple families!!Estimate!!$150,000 to $199,999","Married-couple families!!Margin of Error!!$150,000 to $199,999","Married-couple families!!Estimate!!$200,000 or more","Married-couple families!!Margin of Error!!$200,000 or more","Married-couple families!!Estimate!!Median income (dollars)","Married-couple families!!Margin of Error!!Median income (dollars)","Married-couple families!!Estimate!!Mean income (dollars)","Married-couple families!!Margin of Error!!Mean income (dollars)","Married-couple families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Estimate!!Total","Nonfamily households!!Margin of Error!!Total","Nonfamily households!!Estimate!!Less than $10,000","Nonfamily households!!Margin of Error!!Less than $10,000","Nonfamily households!!Estimate!!$10,000 to $14,999","Nonfamily households!!Margin of Error!!$10,000 to $14,999","Nonfamily households!!Estimate!!$15,000 to $24,999","Nonfamily households!!Margin of Error!!$15,000 to $24,999","Nonfamily households!!Estimate!!$25,000 to $34,999","Nonfamily households!!Margin of Error!!$25,000 to $34,999","Nonfamily households!!Estimate!!$35,000 to $49,999","Nonfamily households!!Margin of Error!!$35,000 to $49,999","Nonfamily households!!Estimate!!$50,000 to $74,999","Nonfamily households!!Margin of Error!!$50,000 to $74,999","Nonfamily households!!Estimate!!$75,000 to $99,999","Nonfamily households!!Margin of Error!!$75,000 to $99,999","Nonfamily households!!Estimate!!$100,000 to $149,999","Nonfamily households!!Margin of Error!!$100,000 to $149,999","Nonfamily households!!Estimate!!$150,000 to $199,999","Nonfamily households!!Margin of Error!!$150,000 to $199,999","Nonfamily households!!Estimate!!$200,000 or more","Nonfamily households!!Margin of Error!!$200,000 or more","Nonfamily households!!Estimate!!Median income (dollars)","Nonfamily households!!Margin of Error!!Median income (dollars)","Nonfamily households!!Estimate!!Mean income (dollars)","Nonfamily households!!Margin of Error!!Mean income (dollars)","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Households!!Estimate!!Total","Households!!Margin of Error!!Total","Households!!Estimate!!Less than $10,000","Households!!Margin of Error!!Less than $10,000","Households!!Estimate!!$10,000 to $14,999","Households!!Margin of Error!!$10,000 to $14,999","Households!!Estimate!!$15,000 to $24,999","Households!!Margin of Error!!$15,000 to $24,999","Households!!Estimate!!$25,000 to $34,999","Households!!Margin of Error!!$25,000 to $34,999","Households!!Estimate!!$35,000 to $49,999","Households!!Margin of Error!!$35,000 to $49,999","Households!!Estimate!!$50,000 to $74,999"
"1400000US09001110600","Census Tract 1106, Fairfield County, Connecticut","4.2","17.8","5.8","17.5","5.5","19.6","6.1","12.4","4.8","99375","20394","119497","11605","29.1","(X)","(X)","(X)","(X)","(X)","2288","165","2.5","2.0","0.0","1.4","3.3","2.5","4.1","3.5","6.2","3.4","13.4","5.1","16.7","6.0","19.1","6.3","22.4","7.2","12.3","5.2","111071","25524","125977","13525","(X)","(X)","27.0","(X)","(X)","(X)","1951","178","3.0","2.3","0.0","1.6","2.6","2.6","1.7","1.9","3.9","3.3","12.8","5.3","14.4","6.0","21.7","7.3","25.5","8.0","14.5","6.1","(X)","(X)","N","N","(X)","(X)","(X)","(X)","(X)","(X)","545","176","7.7","11.8","6.2","7.5","11.2","9.4","6.8","7.7","9.0","10.5","5.7","6.5","25.3","18.6","7.7","7.4","7.7","7.0","12.7","15.2","77802","35977","90427","34086","(X)","(X)","(X)","(X)","38.0","(X)","2833","145","3.5","2.8","1.2","1.4","4.8","2.7","4.6","2.8","6.1","3.4","12.6"
"1400000US09001200100","Census Tract 2001, Fairfield County, Connecticut","8.4","14.3","6.0","20.3","7.0","2.5","1.7","9.8","4.7","68646","13684","87090","9373","24.9","(X)","(X)","(X)","(X)","(X)","884","94","0.8","1.2","0.5","1.0","2.7","2.8","13.3","8.7","10.7","6.9","19.6","8.1","10.9","6.1","27.9","9.6","2.8","2.7","10.7","6.5","80761","18179","96013","13558","(X)","(X)","25.1","(X)","(X)","(X)","734","101","1.0","1.4","0.0","4.3","2.9","3.2","8.7","5.5","8.4","6.7","18.5","8.0","13.1","7.3","32.3","11.3","2.2","2.5","12.9","7.8","(X)","(X)","N","N","(X)","(X)","(X)","(X)","(X)","(X)","592","105","6.9","7.2","0.0","5.3","9.8","4.9","10.5","10.7","8.6","5.7","25.5","14.0","19.4","10.6","8.8","6.2","2.0","3.3","8.4","6.0","57177","8330","73565","12538","(X)","(X)","(X)","(X)","24.5","(X)","1476","80","3.3","3.0","0.3","0.6","5.4","2.6","12.2","6.8","9.9","4.7","22.2"
"1400000US09001200200","Census Tract 2002, Fairfield County, Connecticut","7.0","15.5","5.7","22.8","8.9","7.1","4.1","3.3","2.1","71932","17008","90505","15828","28.1","(X)","(X)","(X)","(X)","(X)","1376","146","2.1","2.4","0.6","3.4","8.6","4.1","2.0","2.4","12.1","5.8","23.5","8.8","12.7","6.1","24.3","11.2","9.9","6.2","4.2","3.8","75667","22056","102877","24633","(X)","(X)","29.4","(X)","(X)","(X)","834","147","1.6","2.6","1.0","5.6","0.0","3.8","1.7","2.8","2.9","3.1","26.3","12.6","10.0","6.6","33.5","14.2","16.3","9.8","7.0","6.2","(X)","(X)","N","N","(X)","(X)","(X)","(X)","(X)","(X)","835","192","5.0","4.6","1.7","2.7","17.4","13.5","3.1","3.6","13.8","8.1","18.6","10.7","20.1","11.3","16.0","11.5","2.5","4.1","1.8","2.8","60536","16241","66210","12108","(X)","(X)","(X)","(X)","26.0","(X)","2211","140","3.2","2.3","1.0","2.3","11.9","6.0","1.8","1.7","13.3","4.8","20.0"
"1400000US09001200301","Census Tract 2003.01, Fairfield County, Connecticut","3.7","11.2","4.6","28.1","6.4","23.1","6.1","11.5","4.6","130536","10786","126997","11024","32.1","(X)","(X)","(X)","(X)","(X)","1391","89","0.0","2.3","1.1","1.2","1.9","2.9","2.4","2.1","6.5","3.3","11.3","4.3","8.6","3.9","30.1","7.6","25.2","7.1","12.9","5.2","134681","11575","134566","11469","(X)","(X)","30.4","(X)","(X)","(X)","1197","94","0.0","2.7","1.3","1.4","2.3","3.3","2.8","2.4","3.8","2.4","9.0","3.5","8.1","3.7","30.9","8.5","26.8","7.7","15.0","5.9","(X)","(X)","N","N","(X)","(X)","(X)","(X)","(X)","(X)","265","95","7.5","7.3","6.8","8.7","11.7","10.5","11.7","10.8","3.4","5.1","0.0","11.5","25.3","17.2","26.4","18.4","3.4","5.6","3.8","6.0","81277","31552","80551","21631","(X)","(X)","(X)","(X)","41.1","(X)","1656","84","1.2","1.3","1.6","1.5","3.9","2.8","3.9","2.4","5.5","2.8","10.0"
"1400000US09001200302","Census Tract 2003.02, Fairfield County, Connecticut","3.3","14.0","4.3","24.1","5.0","17.4","4.1","16.2","4.8","111818","10257","149676","26215","26.6","(X)","(X)","(X)","(X)","(X)","1470","86","0.0","2.2","0.0","2.2","1.7","1.9","2.9","2.1","7.0","3.3","7.8","3.7","13.1","4.4","28.4","5.6","20.4","5.3","18.7","5.6","124722","11224","155492","19622","(X)","(X)","26.7","(X)","(X)","(X)","1261","100","0.0","2.5","0.0","2.5","0.0","2.5","2.7","2.2","5.7","2.7","7.7","4.2","12.1","4.3","27.5","6.1","22.4","5.9","21.8","6.5","(X)","(X)","N","N","(X)","(X)","(X)","(X)","(X)","(X)","398","105","11.8","9.8","2.3","4.0","15.1","11.6","8.3","6.3","8.0","6.2","15.8","9.7","17.3","12.4","8.0","11.7","6.3","6.6","7.0","10.4","55714","24410","127982","98691","(X)","(X)","(X)","(X)","22.9","(X)","1868","92","2.5","2.1","0.5","0.8","4.6","2.8","4.0","2.1","7.2","2.9","9.5"
"1400000US09001205100","Census Tract 2051, Fairfield County, Connecticut","4.2","12.1","3.6","23.7","6.6","9.5","3.7","19.6","4.7","104073","14414","132024","14617","30.0","(X)","(X)","(X)","(X)","(X)","1195","94","0.9","1.4","1.4","2.2","2.9","3.0","4.7","3.5","5.5","3.0","7.4","3.8","15.1","4.7","26.4","7.7","12.1","4.6","23.4","5.7","123015","13817","152228","17718","(X)","(X)","28.3","(X)","(X)","(X)","1045","99","0.0","3.1","0.0","3.1","2.7","3.3","1.8","1.7","5.3","3.3","8.5","4.3","14.2","4.8","28.3","8.1","13.3","5.2","25.9","6.6","(X)","(X)","N","N","(X)","(X)","(X)","(X)","(X)","(X)","332","79","6.3","6.0","13.9","10.4","18.4","10.0","13.6","7.5","13.0","11.3","17.2","13.5","5.4","5.0","10.5","6.6","0.0","9.3","1.8","3.1","32500","19967","49948","14069","(X)","(X)","(X)","(X)","36.1","(X)","1527","108","2.1","1.8","3.0","2.3","7.4","3.4","6.6","3.1","7.1","3.2","8.8"
"1400000US09001205200","Census Tract 2052, Fairfield County, Connecticut","4.5","6.7","4.1","27.1","6.1","14.1","5.2","27.3","5.9","129615","13038","162201","20094","22.3","(X)","(X)","(X)","(X)","(X)","1948","134","0.0","1.7","0.0","1.7","1.6","1.3","2.1","2.1","5.0","2.7","11.0","5.0","5.4","3.5","28.5","6.6","15.9","5.9","30.4","6.0","136753","14668","176636","20203","(X)","(X)","24.8","(X)","(X)","(X)","1768","147","0.0","1.8","0.0","1.8","1.8","1.4","2.3","2.3","4.1","2.7","9.2","4.6","3.8","2.9","29.3","7.2","17.5","6.4","31.9","6.3","143333","22554","N","N","(X)","(X)","(X)","(X)","(X)","(X)","290","110","26.6","22.7","6.6","10.9","6.2","9.9","8.3","13.1","6.9","10.9","4.8","8.6","17.6","17.1","17.2","15.2","0.0","10.6","5.9","9.2","(X)","(X)","62938","25175","(X)","(X)","(X)","(X)","5.5","(X)","2238","151","3.4","3.3","0.8","1.4","2.2","1.7","2.9","2.2","5.2","2.5","10.2"
"1400000US09001205300","Census Tract 2053, Fairfield County, Connecticut","5.9","11.0","5.0","29.8","7.1","8.8","3.6","9.5","4.3","96908","11932","105483","11143","32.5","(X)","(X)","(X)","(X)","(X)","1536","150","0.0","2.1","0.0","2.1","0.5","0.8","7.1","6.4","8.0","3.7","12.9","7.7","10.3","5.7","38.9","8.5","12.2","5.3","10.2","4.6","111071","10054","123227","12899","(X)","(X)","29.3","(X)","(X)","(X)","1319","160","0.0","2.4","0.0","2.4","0.5","1.0","4.5","5.4","8.2","4.4","13.2","8.7","10.2","6.1","39.3","9.1","12.3","5.9","11.8","5.4","(X)","(X)","N","N","(X)","(X)","(X)","(X)","(X)","(X)","609","181","1.8","3.0","17.7","14.4","17.7","14.8","9.5","7.7","10.8","7.9","17.2","11.9","10.3","8.1","9.2","6.8","0.0","5.2","5.6","8.3","39271","16473","56023","16835","(X)","(X)","(X)","(X)","40.6","(X)","2145","144","0.5","0.9","5.0","4.4","5.4","4.6","7.8","4.8","8.8","3.6","13.4"
"1400000US09001210100","Census Tract 2101, Fairfield County, Connecticut","4.5","7.4","4.5","7.6","3.7","1.0","1.6","1.5","1.9","35768","8318","46262","7713","38.1","(X)","(X)","(X)","(X)","(X)","1294","175","5.0","4.9","6.6","6.1","6.5","6.0","13.9","7.8","25.3","9.4","15.8","7.0","15.7","8.6","8.3","5.2","0.0","2.5","2.8","3.6","45993","8606","58010","12471","(X)","(X)","35.2","(X)","(X)","(X)","742","160","0.0","4.3","11.6","10.1","3.9","6.1","8.9","8.8","25.5","12.0","24.3","11.2","8.2","7.5","12.8","8.6","0.0","4.3","4.9","6.5","(X)","(X)","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1165","201","24.3","9.8","19.1","7.5","18.0","9.2","9.6","5.7","10.9","6.6","11.1","5.5","1.0","1.7","3.9","4.7","2.1","3.5","0.0","2.7","20815","5733","30657","7725","(X)","(X)","(X)","(X)","38.3","(X)","2459","136","14.2","5.3","12.5","5.1","10.6","5.4","11.9","4.8","18.5","6.6","14.9"
